timestamp_utc,run_id,task_id,model_name,record_type,selection_metric,selection_split,hidden_size,d_model,nhead,num_layers,dropout,lr,batch_size,hyperparameters_json,best_val_MSE,MSE,MAE,DA,best_epoch,tuning_notes,notes
2026-03-27T14:18:57+00:00,lstm_experiment-20260327T141825Z,next_return,LSTM,neural_model,best_val_MSE,validation,64,,,2,,0.001,64,"{""hidden"": 64, ""input_size"": 8, ""layers"": 2}",0.00026600127921540706,9.617200247153684e-05,0.006784855773410049,0.5081761006289308,1,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64
2026-03-27T14:19:28+00:00,lstm_experiment-20260327T141857Z,next_return,LSTM,neural_model,best_val_MSE,validation,64,,,2,,0.0005,64,"{""hidden"": 64, ""input_size"": 8, ""layers"": 2}",0.00025890891597427236,9.0922455829879e-05,0.0065980059646801575,0.5383647798742138,5,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64
2026-03-27T14:20:00+00:00,lstm_experiment-20260327T141929Z,next_return,LSTM,neural_model,best_val_MSE,validation,64,,,2,,0.0001,64,"{""hidden"": 64, ""input_size"": 8, ""layers"": 2}",0.0002576609250098763,9.62890675583853e-05,0.006922961194913425,0.5031446540880503,1,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64
2026-03-27T14:20:23+00:00,lstm_experiment-20260327T142000Z,next_return,LSTM,neural_model,best_val_MSE,validation,32,,,2,,0.0001,64,"{""hidden"": 32, ""input_size"": 8, ""layers"": 2}",0.00024588795870547614,9.272145564789795e-05,0.006730170158651723,0.48553459119496856,30,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0001;selection=best_val_MSE;hidden=32;layers=2;lr=0.0001;batch=64,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0001;selection=best_val_MSE;hidden=32;layers=2;lr=0.0001;batch=64
2026-03-27T14:20:54+00:00,lstm_experiment-20260327T142023Z,next_return,LSTM,neural_model,best_val_MSE,validation,64,,,2,,0.0001,64,"{""hidden"": 64, ""input_size"": 8, ""layers"": 2}",0.00024721669126206584,9.109514139204695e-05,0.006589265265745739,0.5006289308176101,10,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0001;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0001;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64
2026-03-27T14:21:48+00:00,lstm_experiment-20260327T142055Z,next_return,LSTM,neural_model,best_val_MSE,validation,128,,,2,,0.0001,64,"{""hidden"": 128, ""input_size"": 8, ""layers"": 2}",0.0002536982224256941,9.002394839153126e-05,0.0065663270062036585,0.5308176100628931,1,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0001;selection=best_val_MSE;hidden=128;layers=2;lr=0.0001;batch=64,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0001;selection=best_val_MSE;hidden=128;layers=2;lr=0.0001;batch=64
2026-03-27T14:22:03+00:00,lstm_experiment-20260327T142149Z,next_return,LSTM,neural_model,best_val_MSE,validation,32,,,1,,0.0001,64,"{""hidden"": 32, ""input_size"": 8, ""layers"": 1}",0.0002582365196491245,0.00010752921375660573,0.007256916027636799,0.45660377358490567,42,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:32|lr:0.0001;selection=best_val_MSE;hidden=32;layers=1;lr=0.0001;batch=64,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:32|lr:0.0001;selection=best_val_MSE;hidden=32;layers=1;lr=0.0001;batch=64
2026-03-27T14:22:25+00:00,lstm_experiment-20260327T142203Z,next_return,LSTM,neural_model,best_val_MSE,validation,32,,,2,,0.0001,64,"{""hidden"": 32, ""input_size"": 8, ""layers"": 2}",0.00024087349391073974,9.17979412835353e-05,0.006606251245623931,0.5433962264150943,28,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:32|lr:0.0001;selection=best_val_MSE;hidden=32;layers=2;lr=0.0001;batch=64,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:32|lr:0.0001;selection=best_val_MSE;hidden=32;layers=2;lr=0.0001;batch=64
2026-03-27T14:22:54+00:00,lstm_experiment-20260327T142226Z,next_return,LSTM,neural_model,best_val_MSE,validation,32,,,3,,0.0001,64,"{""hidden"": 32, ""input_size"": 8, ""layers"": 3}",0.00024789338071416387,9.18452309737312e-05,0.006634680112539097,0.5421383647798742,4,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:32|lr:0.0001;selection=best_val_MSE;hidden=32;layers=3;lr=0.0001;batch=64,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:32|lr:0.0001;selection=best_val_MSE;hidden=32;layers=3;lr=0.0001;batch=64
2026-03-27T14:23:23+00:00,lstm_experiment-20260327T142254Z,next_return,LSTM,neural_model,best_val_MSE,validation,32,,,2,,0.0001,32,"{""hidden"": 32, ""input_size"": 8, ""layers"": 2}",0.0002541451300408248,9.893950149608852e-05,0.006849215082417067,0.4981132075471698,10,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:32|layers:2|lr:0.0001;selection=best_val_MSE;hidden=32;layers=2;lr=0.0001;batch=32,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:32|layers:2|lr:0.0001;selection=best_val_MSE;hidden=32;layers=2;lr=0.0001;batch=32
