task_id,model,stage_index,stage_name,parameter_group,winning_value_json,best_val_MSE,frozen_config_json
next_return,lstm,1,LSTM lr sweep,lr,0.0001,0.0002576609250098763,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
next_return,lstm,2,LSTM hidden sweep,hidden,32,0.00024588795870547614,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.0001}"
next_return,lstm,3,LSTM layers sweep,layers,2,0.00024087349391073974,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.0001}"
next_return,lstm,4,LSTM batch_size sweep,batch_size,64,0.0002383257613006516,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.0001}"
next_return,gru,1,GRU lr sweep,lr,0.0001,0.00025797929875383344,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
next_return,gru,2,GRU hidden sweep,hidden,128,0.00024662138116935984,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.0001}"
next_return,gru,3,GRU layers sweep,layers,3,0.00025513373859388776,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0001}"
next_return,gru,4,GRU batch_size sweep,batch_size,128,0.00025270725085324,"{""batch_size"": 128, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0001}"
next_return,rnn,1,RNN lr sweep,lr,0.0001,0.0002557208466974544,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
next_return,rnn,2,RNN hidden sweep,hidden,64,0.00027615556900059966,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
next_return,rnn,3,RNN layers sweep,layers,3,0.00027887435185050845,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 3, ""lr"": 0.0001}"
next_return,rnn,4,RNN batch_size sweep,batch_size,128,0.00025562777036302145,"{""batch_size"": 128, ""hidden"": 64, ""layers"": 3, ""lr"": 0.0001}"
next_return,transformer,1,Transformer lr sweep,lr,0.001,0.00033835707375587534,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2}"
next_return,transformer,2,Transformer d_model sweep,d_model,32,0.0003038321246614258,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2}"
next_return,transformer,3,Transformer num_layers sweep,num_layers,1,0.00030163626243240354,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1}"
next_return,transformer,4,Transformer nhead sweep,nhead,4,0.0002998832498710644,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1}"
next_return,transformer,5,Transformer batch_size sweep,batch_size,64,0.0002908656555375228,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1}"
