task_id,model,stage_index,stage_name,parameter_group,winning_value_json,best_val_MSE,frozen_config_json
sine_next_day,lstm,1,LSTM lr sweep,lr,0.0001,9.27287600906403e-07,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
sine_next_day,lstm,2,LSTM hidden sweep,hidden,128,3.594828286952541e-06,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.0001}"
sine_next_day,lstm,3,LSTM layers sweep,layers,2,7.206167233374226e-07,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.0001}"
sine_next_day,lstm,4,LSTM batch_size sweep,batch_size,64,5.644104374213609e-07,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.0001}"
sine_next_day,gru,1,GRU lr sweep,lr,0.0005,1.154066506310784e-06,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0005}"
sine_next_day,gru,2,GRU hidden sweep,hidden,128,2.8535827640492052e-06,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.0005}"
sine_next_day,gru,3,GRU layers sweep,layers,3,8.206020680487351e-07,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0005}"
sine_next_day,gru,4,GRU batch_size sweep,batch_size,32,4.273647410114761e-06,"{""batch_size"": 32, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0005}"
sine_next_day,rnn,1,RNN lr sweep,lr,0.001,4.393656942865132e-06,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001}"
sine_next_day,rnn,2,RNN hidden sweep,hidden,32,8.446142529447504e-06,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.001}"
sine_next_day,rnn,3,RNN layers sweep,layers,3,1.0374027604667968e-06,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 3, ""lr"": 0.001}"
sine_next_day,rnn,4,RNN batch_size sweep,batch_size,64,4.868379022608118e-06,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 3, ""lr"": 0.001}"
sine_next_day,transformer,1,Transformer lr sweep,lr,0.0005,2.2317521878318114e-05,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2}"
sine_next_day,transformer,2,Transformer d_model sweep,d_model,64,2.1258109354329034e-05,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2}"
sine_next_day,transformer,3,Transformer num_layers sweep,num_layers,1,1.740305671012338e-05,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 1}"
sine_next_day,transformer,4,Transformer nhead sweep,nhead,4,7.97377831864266e-06,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 1}"
sine_next_day,transformer,5,Transformer batch_size sweep,batch_size,64,1.4504202361465313e-05,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 1}"
