timestamp_utc,run_id,task_id,model_name,record_type,selection_metric,selection_split,hidden_size,d_model,nhead,num_layers,dropout,lr,batch_size,hyperparameters_json,best_val_MSE,MSE,MAE,DA,best_epoch,tuning_notes,notes
2026-03-28T03:56:27+00:00,lstm_experiment-20260328T035618Z,next_mean_return,LSTM,neural_model,best_val_MSE,validation,64,,,2,,0.001,64,"{""hidden"": 64, ""input_size"": 8, ""layers"": 2}",5.084328417946627e-05,1.5543523120284558e-05,0.0028744140524765874,0.6146095717884131,3,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64
2026-03-28T03:56:35+00:00,lstm_experiment-20260328T035628Z,next_mean_return,LSTM,neural_model,best_val_MSE,validation,64,,,2,,0.0005,64,"{""hidden"": 64, ""input_size"": 8, ""layers"": 2}",4.6616465961727965e-05,1.635183949396781e-05,0.0030737372548605784,0.5088161209068011,1,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64
2026-03-28T03:56:43+00:00,lstm_experiment-20260328T035636Z,next_mean_return,LSTM,neural_model,best_val_MSE,validation,64,,,2,,0.0001,64,"{""hidden"": 64, ""input_size"": 8, ""layers"": 2}",4.8882705602618384e-05,1.895154632206907e-05,0.0032396199713716723,0.5201511335012594,4,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64
2026-03-28T03:56:52+00:00,lstm_experiment-20260328T035644Z,next_mean_return,LSTM,neural_model,best_val_MSE,validation,32,,,2,,0.0005,64,"{""hidden"": 32, ""input_size"": 8, ""layers"": 2}",5.538629200053098e-05,1.963929768567961e-05,0.0032617340531708354,0.5239294710327456,4,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=32;layers=2;lr=0.0005;batch=64,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=32;layers=2;lr=0.0005;batch=64
2026-03-28T03:57:00+00:00,lstm_experiment-20260328T035652Z,next_mean_return,LSTM,neural_model,best_val_MSE,validation,64,,,2,,0.0005,64,"{""hidden"": 64, ""input_size"": 8, ""layers"": 2}",4.482365507290588e-05,1.8329886347554495e-05,0.003133430610378754,0.5289672544080605,1,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64
2026-03-28T03:57:08+00:00,lstm_experiment-20260328T035701Z,next_mean_return,LSTM,neural_model,best_val_MSE,validation,128,,,2,,0.0005,64,"{""hidden"": 128, ""input_size"": 8, ""layers"": 2}",4.1793360460968275e-05,1.565605264073602e-05,0.002979854169940861,0.5692695214105793,1,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=128;layers=2;lr=0.0005;batch=64,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=128;layers=2;lr=0.0005;batch=64
2026-03-28T03:57:15+00:00,lstm_experiment-20260328T035709Z,next_mean_return,LSTM,neural_model,best_val_MSE,validation,128,,,1,,0.0005,64,"{""hidden"": 128, ""input_size"": 8, ""layers"": 1}",4.35240237257155e-05,2.2982705616160846e-05,0.0034996097368889018,0.4722921914357683,1,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=1;lr=0.0005;batch=64,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=1;lr=0.0005;batch=64
2026-03-28T03:57:23+00:00,lstm_experiment-20260328T035716Z,next_mean_return,LSTM,neural_model,best_val_MSE,validation,128,,,2,,0.0005,64,"{""hidden"": 128, ""input_size"": 8, ""layers"": 2}",4.430197716508857e-05,1.5795827578367818e-05,0.002930035629843528,0.6133501259445844,1,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=2;lr=0.0005;batch=64,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=2;lr=0.0005;batch=64
2026-03-28T03:57:32+00:00,lstm_experiment-20260328T035724Z,next_mean_return,LSTM,neural_model,best_val_MSE,validation,128,,,3,,0.0005,64,"{""hidden"": 128, ""input_size"": 8, ""layers"": 3}",4.1108822775322035e-05,1.613398585480989e-05,0.003090407983321732,0.41183879093198994,1,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=64,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=64
2026-03-28T03:57:48+00:00,lstm_experiment-20260328T035733Z,next_mean_return,LSTM,neural_model,best_val_MSE,validation,128,,,3,,0.0005,32,"{""hidden"": 128, ""input_size"": 8, ""layers"": 3}",4.149230605755136e-05,1.549714805875416e-05,0.0029070367806162986,0.6196473551637279,1,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=32,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=32
2026-03-28T03:57:57+00:00,lstm_experiment-20260328T035749Z,next_mean_return,LSTM,neural_model,best_val_MSE,validation,128,,,3,,0.0005,64,"{""hidden"": 128, ""input_size"": 8, ""layers"": 3}",4.1239743576536874e-05,1.5729984195791544e-05,0.0029896152347432406,0.491183879093199,1,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=64,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=64
2026-03-28T03:58:03+00:00,lstm_experiment-20260328T035758Z,next_mean_return,LSTM,neural_model,best_val_MSE,validation,128,,,3,,0.0005,128,"{""hidden"": 128, ""input_size"": 8, ""layers"": 3}",4.2589228197220196e-05,1.622600936855452e-05,0.0030444336199794975,0.47732997481108314,4,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=128,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=128
2026-03-28T03:58:11+00:00,gru_experiment-20260328T035804Z,next_mean_return,GRU,neural_model,best_val_MSE,validation,64,,,2,,0.001,64,"{""hidden"": 64, ""input_size"": 8, ""layers"": 2}",5.166495729905825e-05,1.7470361206828198e-05,0.0030847967378932963,0.5377833753148614,14,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64
2026-03-28T03:58:19+00:00,gru_experiment-20260328T035812Z,next_mean_return,GRU,neural_model,best_val_MSE,validation,64,,,2,,0.0005,64,"{""hidden"": 64, ""input_size"": 8, ""layers"": 2}",5.973260363794083e-05,4.030737687856223e-05,0.004287139086632968,0.41183879093198994,1,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64
2026-03-28T03:58:27+00:00,gru_experiment-20260328T035820Z,next_mean_return,GRU,neural_model,best_val_MSE,validation,64,,,2,,0.0001,64,"{""hidden"": 64, ""input_size"": 8, ""layers"": 2}",7.257547702675173e-05,2.7717823006048873e-05,0.0036820154339393474,0.5377833753148614,12,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64
2026-03-28T03:58:35+00:00,gru_experiment-20260328T035828Z,next_mean_return,GRU,neural_model,best_val_MSE,validation,32,,,2,,0.001,64,"{""hidden"": 32, ""input_size"": 8, ""layers"": 2}",6.253797462126785e-05,1.8241055073306782e-05,0.0031433286315303618,0.5264483627204031,11,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001;selection=best_val_MSE;hidden=32;layers=2;lr=0.001;batch=64,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001;selection=best_val_MSE;hidden=32;layers=2;lr=0.001;batch=64
2026-03-28T03:58:43+00:00,gru_experiment-20260328T035836Z,next_mean_return,GRU,neural_model,best_val_MSE,validation,64,,,2,,0.001,64,"{""hidden"": 64, ""input_size"": 8, ""layers"": 2}",5.9660245091234994e-05,2.203513668889562e-05,0.003561592519440691,0.42065491183879095,6,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64
2026-03-28T03:58:51+00:00,gru_experiment-20260328T035844Z,next_mean_return,GRU,neural_model,best_val_MSE,validation,128,,,2,,0.001,64,"{""hidden"": 128, ""input_size"": 8, ""layers"": 2}",5.96310392895627e-05,2.4109895565616033e-05,0.0035545527133318774,0.4420654911838791,4,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=64,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=64
2026-03-28T03:58:59+00:00,gru_experiment-20260328T035852Z,next_mean_return,GRU,neural_model,best_val_MSE,validation,128,,,1,,0.001,64,"{""hidden"": 128, ""input_size"": 8, ""layers"": 1}",7.732484255698731e-05,2.4667689833755378e-05,0.0033013093971672913,0.5604534005037783,11,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.001;selection=best_val_MSE;hidden=128;layers=1;lr=0.001;batch=64,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.001;selection=best_val_MSE;hidden=128;layers=1;lr=0.001;batch=64
2026-03-28T03:59:07+00:00,gru_experiment-20260328T035900Z,next_mean_return,GRU,neural_model,best_val_MSE,validation,128,,,2,,0.001,64,"{""hidden"": 128, ""input_size"": 8, ""layers"": 2}",6.047508813958503e-05,2.1042217083224006e-05,0.003246506069792739,0.5717884130982368,5,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.001;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=64,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.001;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=64
