model,run_id,timestamp,hyperparameters,hidden_size,d_model,nhead,num_layers,best_val_MSE,test_MSE,MAE,DA,best_epoch,notes,selection_reason
GRU,gru_experiment-20260328T032223Z,2026-03-28T03:22:27+00:00,"{""hidden"":128,""input_size"":8,""layers"":2}",128,,,2,8.680727428124987e-07,5.573976706391412e-07,0.0005860719811617323,0.9728997289972899,4,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=128;layers=2;lr=0.0005;batch=64,selected_by=lowest_validation_MSE
GRU,gru_experiment-20260328T032231Z,2026-03-28T03:22:34+00:00,"{""hidden"":128,""input_size"":8,""layers"":2}",128,,,2,1.837613783247854e-06,3.603460643771882e-07,0.0004542266226633821,0.978319783197832,4,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=2;lr=0.0005;batch=64,
GRU,gru_experiment-20260328T032208Z,2026-03-28T03:22:12+00:00,"{""hidden"":64,""input_size"":8,""layers"":2}",64,,,2,2.0041642492837124e-06,6.523974646541616e-07,0.0006295980413559944,0.978319783197832,4,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64,
GRU,gru_experiment-20260328T032204Z,2026-03-28T03:22:08+00:00,"{""hidden"":64,""input_size"":8,""layers"":2}",64,,,2,2.112342715099988e-06,1.2455034465316116e-06,0.0008829676934724375,0.964769647696477,4,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64,
GRU,gru_experiment-20260328T032212Z,2026-03-28T03:22:16+00:00,"{""hidden"":64,""input_size"":8,""layers"":2}",64,,,2,2.7497794334927633e-06,1.8349018273887438e-06,0.001070620843373332,0.959349593495935,22,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64,
GRU,gru_experiment-20260328T032235Z,2026-03-28T03:22:39+00:00,"{""hidden"":128,""input_size"":8,""layers"":3}",128,,,3,2.872713077548834e-06,2.065971150851874e-07,0.00036819814600165155,0.9701897018970189,4,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=64,
GRU,gru_experiment-20260328T032216Z,2026-03-28T03:22:20+00:00,"{""hidden"":32,""input_size"":8,""layers"":2}",32,,,2,3.945264855963129e-06,4.9074932950631285e-06,0.0017011606249111443,0.9376693766937669,7,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=32;layers=2;lr=0.0005;batch=64,
GRU,gru_experiment-20260328T032227Z,2026-03-28T03:22:31+00:00,"{""hidden"":128,""input_size"":8,""layers"":1}",128,,,1,4.211189346833956e-06,1.4430187792915877e-06,0.0009432706455028821,0.9728997289972899,4,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=1;lr=0.0005;batch=64,
GRU,gru_experiment-20260328T032249Z,2026-03-28T03:22:51+00:00,"{""hidden"":128,""input_size"":8,""layers"":2}",128,,,2,5.7795775251654274e-06,8.935452171841722e-07,0.0007875164142883955,0.9728997289972899,5,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:2|lr:0.0005;selection=best_val_MSE;hidden=128;layers=2;lr=0.0005;batch=128,
GRU,gru_experiment-20260328T032239Z,2026-03-28T03:22:45+00:00,"{""hidden"":128,""input_size"":8,""layers"":2}",128,,,2,6.337037419450893e-06,5.961693386685248e-06,0.00189025296974549,0.9539295392953929,1,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:2|lr:0.0005;selection=best_val_MSE;hidden=128;layers=2;lr=0.0005;batch=32,
