model,run_id,timestamp,hyperparameters,hidden_size,d_model,nhead,num_layers,best_val_MSE,test_MSE,MAE,DA,best_epoch,notes,selection_reason
GRU,gru_experiment-20260330T121617Z,2026-03-30T12:16:31+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,4.693860414974957e-05,1.9456067605834974e-05,0.0035415950179213318,0.41309823677581864,1,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=32,selected_by=lowest_validation_MSE
GRU,gru_experiment-20260330T121608Z,2026-03-30T12:16:16+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,4.956167235757705e-05,1.8154969540253287e-05,0.0031243077544736413,0.5214105793450882,1,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=64,
GRU,gru_experiment-20260330T121632Z,2026-03-30T12:16:40+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,4.957505143523169e-05,1.8156043095539687e-05,0.0031245805606480263,0.5214105793450882,1,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=64,
GRU,gru_experiment-20260330T121641Z,2026-03-30T12:16:46+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,5.034878268518288e-05,1.5922758808883272e-05,0.0029257499030276657,0.5843828715365239,4,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=128,
GRU,gru_experiment-20260330T121553Z,2026-03-30T12:15:59+00:00,"{""hidden"":128,""input_size"":8,""layers"":1,""random_seed"":42}",128,,,1,5.495902925839903e-05,1.876049863667901e-05,0.0031103437507862207,0.5377833753148614,20,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=1;lr=0.0005;batch=64,
GRU,gru_experiment-20260330T121545Z,2026-03-30T12:15:52+00:00,"{""hidden"":128,""input_size"":8,""layers"":2,""random_seed"":42}",128,,,2,5.5028932531831684e-05,2.3048610601520185e-05,0.0037693057447202496,0.41183879093198994,1,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=128;layers=2;lr=0.0005;batch=64,
GRU,gru_experiment-20260330T121600Z,2026-03-30T12:16:07+00:00,"{""hidden"":128,""input_size"":8,""layers"":2,""random_seed"":42}",128,,,2,5.503845779485587e-05,2.304909989476937e-05,0.0037689104802804763,0.41183879093198994,1,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=2;lr=0.0005;batch=64,
GRU,gru_experiment-20260330T121512Z,2026-03-30T12:15:19+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,5.597792436350926e-05,1.89187296591074e-05,0.003108165519870405,0.570528967254408,8,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64,
GRU,gru_experiment-20260330T121537Z,2026-03-30T12:15:44+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,5.598500667559453e-05,1.893641141733841e-05,0.0031090829967645385,0.570528967254408,8,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64,
GRU,gru_experiment-20260330T121504Z,2026-03-30T12:15:11+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,5.75531274129211e-05,1.97575456381888e-05,0.0032362938538808136,0.5453400503778337,4,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64,
GRU,gru_experiment-20260330T121519Z,2026-03-30T12:15:27+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,6.0926648162274963e-05,1.8150127320513088e-05,0.0031590075016581665,0.570528967254408,15,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64,
GRU,gru_experiment-20260330T121528Z,2026-03-30T12:15:36+00:00,"{""hidden"":32,""input_size"":8,""layers"":2,""random_seed"":42}",32,,,2,7.009112140117144e-05,2.0410438413645573e-05,0.0032477214451767686,0.5088161209068011,28,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=32;layers=2;lr=0.0005;batch=64,
LSTM,lstm_experiment-20260330T121450Z,2026-03-30T12:14:57+00:00,"{""hidden"":128,""input_size"":8,""layers"":2,""random_seed"":42}",128,,,2,4.073533890907982e-05,1.745255648165569e-05,0.003108742703186367,0.5919395465994962,1,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:2|lr:0.001;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=64,selected_by=lowest_validation_MSE
LSTM,lstm_experiment-20260330T121404Z,2026-03-30T12:14:11+00:00,"{""hidden"":128,""input_size"":8,""layers"":2,""random_seed"":42}",128,,,2,4.0735460162041815e-05,1.7453099744281425e-05,0.0031088029006450797,0.5919395465994962,1,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=64,
LSTM,lstm_experiment-20260330T121419Z,2026-03-30T12:14:26+00:00,"{""hidden"":128,""input_size"":8,""layers"":2,""random_seed"":42}",128,,,2,4.07366567107044e-05,1.745317898873432e-05,0.0031088147198447334,0.5919395465994962,1,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.001;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=64,
LSTM,lstm_experiment-20260330T121436Z,2026-03-30T12:14:49+00:00,"{""hidden"":128,""input_size"":8,""layers"":2,""random_seed"":42}",128,,,2,4.1274380063972656e-05,1.549621123092442e-05,0.0029512077169179785,0.5377833753148614,1,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:2|lr:0.001;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=32,
LSTM,lstm_experiment-20260330T121427Z,2026-03-30T12:14:35+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,4.4986385356122215e-05,2.000618555339978e-05,0.0035032676847551072,0.38161209068010077,1,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.001;selection=best_val_MSE;hidden=128;layers=3;lr=0.001;batch=64,
LSTM,lstm_experiment-20260330T121355Z,2026-03-30T12:14:03+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.5994202590971716e-05,1.5963966613992058e-05,0.0029921662741964174,0.5541561712846348,4,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64,
LSTM,lstm_experiment-20260330T121321Z,2026-03-30T12:13:30+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.5994434412340044e-05,1.5963292310660323e-05,0.002992176544373392,0.5541561712846348,4,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64,
LSTM,lstm_experiment-20260330T121331Z,2026-03-30T12:13:38+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.723319970638957e-05,1.8311538243265013e-05,0.003129920124238509,0.5503778337531486,5,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64,
LSTM,lstm_experiment-20260330T121458Z,2026-03-30T12:15:03+00:00,"{""hidden"":128,""input_size"":8,""layers"":2,""random_seed"":42}",128,,,2,4.9041399594989e-05,2.125730356197848e-05,0.0033925070430999606,0.5780856423173804,1,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:2|lr:0.001;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=128,
LSTM,lstm_experiment-20260330T121339Z,2026-03-30T12:13:46+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.9561471062582186e-05,1.8541102660762718e-05,0.0031851401058503015,0.5289672544080605,18,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64,
LSTM,lstm_experiment-20260330T121412Z,2026-03-30T12:14:18+00:00,"{""hidden"":128,""input_size"":8,""layers"":1,""random_seed"":42}",128,,,1,5.0431492434615503e-05,1.7102139581296516e-05,0.0030373567438024707,0.5831234256926953,18,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.001;selection=best_val_MSE;hidden=128;layers=1;lr=0.001;batch=64,
LSTM,lstm_experiment-20260330T121347Z,2026-03-30T12:13:55+00:00,"{""hidden"":32,""input_size"":8,""layers"":2,""random_seed"":42}",32,,,2,5.1487203344679525e-05,2.249165213224931e-05,0.0036685556920120904,0.43198992443324935,1,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001;selection=best_val_MSE;hidden=32;layers=2;lr=0.001;batch=64,
RNN,rnn_experiment-20260330T121820Z,2026-03-30T12:18:30+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,4.5062632699553166e-05,1.5501998688715777e-05,0.0029521629683058066,0.5264483627204031,39,model=RNN;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.001;selection=best_val_MSE;hidden=128;layers=3;lr=0.001;batch=64,selected_by=lowest_validation_MSE
RNN,rnn_experiment-20260330T121755Z,2026-03-30T12:18:05+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,4.506350962448125e-05,1.550157603625237e-05,0.002952177530338868,0.5251889168765743,39,model=RNN;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.001;selection=best_val_MSE;hidden=128;layers=3;lr=0.001;batch=64,
RNN,rnn_experiment-20260330T121831Z,2026-03-30T12:18:36+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,4.7095535347943726e-05,1.635103130852351e-05,0.0030872121213638016,0.5012594458438288,29,model=RNN;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.001;selection=best_val_MSE;hidden=128;layers=3;lr=0.001;batch=128,
