task_id,model,stage_index,stage_name,parameter_group,winning_value_json,best_val_MSE,frozen_config_json
next_mean_return,lstm,1,LSTM lr sweep,lr,0.001,4.48322828726313e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,2,LSTM hidden sweep,hidden,64,4.4830596817022495e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,3,LSTM layers sweep,layers,3,4.14554544768455e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,4,LSTM batch_size sweep,batch_size,128,3.9770317134649766e-05,"{""batch_size"": 128, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,lstm,5,LSTM seq_len sweep,seq_len,60,3.965827938586605e-05,"{""batch_size"": 128, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 60}"
next_mean_return,gru,1,GRU lr sweep,lr,0.001,5.5673994946030214e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,gru,2,GRU hidden sweep,hidden,128,5.21541567733616e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,gru,3,GRU layers sweep,layers,3,4.983470688765521e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,gru,4,GRU batch_size sweep,batch_size,128,4.415523756763734e-05,"{""batch_size"": 128, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,gru,5,GRU seq_len sweep,seq_len,30,4.415611772377568e-05,"{""batch_size"": 128, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_mean_return,rnn,1,RNN lr sweep,lr,0.0005,5.532433175377356e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0005, ""seq_len"": 30}"
next_mean_return,rnn,2,RNN hidden sweep,hidden,128,5.1636672173635035e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.0005, ""seq_len"": 30}"
next_mean_return,rnn,3,RNN layers sweep,layers,3,5.155446459984784e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0005, ""seq_len"": 30}"
next_mean_return,rnn,4,RNN batch_size sweep,batch_size,32,5.04195181290641e-05,"{""batch_size"": 32, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0005, ""seq_len"": 30}"
next_mean_return,rnn,5,RNN seq_len sweep,seq_len,60,5.01077055297582e-05,"{""batch_size"": 32, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0005, ""seq_len"": 60}"
next_mean_return,transformer,1,Transformer lr sweep,lr,0.001,0.00010345803884954478,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2, ""seq_len"": 30}"
next_mean_return,transformer,2,Transformer d_model sweep,d_model,64,0.0001250862957850101,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2, ""seq_len"": 30}"
next_mean_return,transformer,3,Transformer num_layers sweep,num_layers,1,7.932169652995898e-05,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1, ""seq_len"": 30}"
next_mean_return,transformer,4,Transformer nhead sweep,nhead,8,8.07070531650304e-05,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1, ""seq_len"": 30}"
next_mean_return,transformer,5,Transformer batch_size sweep,batch_size,32,6.03668311373889e-05,"{""batch_size"": 32, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1, ""seq_len"": 30}"
next_mean_return,transformer,6,Transformer seq_len sweep,seq_len,30,5.904407839644912e-05,"{""batch_size"": 32, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1, ""seq_len"": 30}"
next_mean_return,baseline_lr,1,Baseline-LR seq_len sweep,seq_len,20,5.12073008157184e-05,"{""batch_size"": 64, ""lr"": 0.001, ""seq_len"": 20}"
