model,run_id,timestamp,hyperparameters,hidden_size,d_model,nhead,num_layers,best_val_MSE,test_MSE,MAE,DA,best_epoch,notes,selection_reason
GRU,gru_experiment-20260331T194321Z,2026-03-31T19:43:29+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.0002480780458091456,9.271572673148937e-05,0.006688497272357837,0.5156838143036386,16,Tuning final selected configuration for GRU. Winner of staged parameter sweep (stage=seq_len).,selected_by=lowest_validation_MSE
GRU,gru_experiment-20260331T194257Z,2026-03-31T19:43:04+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.000248082290374014,9.273641512730376e-05,0.006689166726330794,0.5156838143036386,16,model=GRU;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:64|hidden:64|layers:3|lr:0.0001;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64;seq_len=20,
GRU,gru_experiment-20260331T194305Z,2026-03-31T19:43:12+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.0002485538426672592,9.579589410343774e-05,0.006874731287155087,0.4880503144654088,7,model=GRU;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:64|hidden:64|layers:3|lr:0.0001;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64;seq_len=30,
GRU,gru_experiment-20260331T194245Z,2026-03-31T19:42:52+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.00024855430232328506,9.581085508541063e-05,0.006875137722787244,0.4880503144654088,7,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:3|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64;seq_len=30,
GRU,gru_experiment-20260331T194223Z,2026-03-31T19:42:30+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.0002485559950800168,9.58164810490685e-05,0.006875228248015852,0.4867924528301887,7,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64;seq_len=30,
GRU,gru_experiment-20260331T194313Z,2026-03-31T19:43:20+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.0002523661137107613,9.472948189334437e-05,0.0067734489828509045,0.5145385587863464,6,model=GRU;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:64|hidden:64|layers:3|lr:0.0001;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64;seq_len=60,
GRU,gru_experiment-20260331T194252Z,2026-03-31T19:42:57+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.00025285924462644353,9.900516750775352e-05,0.007093586364794263,0.4968553459119497,7,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:3|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=128;seq_len=30,
GRU,gru_experiment-20260331T194230Z,2026-03-31T19:42:44+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,0.0002542909273041915,9.479128202946778e-05,0.006782839474415716,0.5044025157232704,4,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:3|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=32;seq_len=30,
GRU,gru_experiment-20260331T194206Z,2026-03-31T19:42:15+00:00,"{""hidden"":64,""input_size"":8,""layers"":1,""random_seed"":42}",64,,,1,0.000256399998068096,0.000101322668868297,0.006953252412055658,0.49559748427672956,37,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=1;lr=0.0001;batch=64;seq_len=30,
GRU,gru_experiment-20260331T194131Z,2026-03-31T19:41:38+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,0.0002594309871550356,9.088819480761607e-05,0.0067164308632736685,0.5119496855345912,17,model=GRU;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64;seq_len=30,
