model,run_id,timestamp,hyperparameters,hidden_size,d_model,nhead,num_layers,best_val_MSE,test_MSE,MAE,DA,best_epoch,notes,selection_reason
GRU,gru_experiment-20260331T200029Z,2026-03-31T20:00:37+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,3.856792657311927e-05,1.9462572088235326e-05,0.002737017637239089,1.0,1,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=128;layers=3;lr=0.001;batch=64;seq_len=30,selected_by=lowest_validation_MSE
GRU,gru_experiment-20260331T200106Z,2026-03-31T20:01:13+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,3.857174473051104e-05,1.9459052028523198e-05,0.002736725482173063,1.0,1,Tuning final selected configuration for GRU. Winner of staged parameter sweep (stage=seq_len).,
GRU,gru_experiment-20260331T200050Z,2026-03-31T20:00:57+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,3.8572673005762294e-05,1.946247366599903e-05,0.002737406302882993,1.0,1,model=GRU;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:64|hidden:128|layers:3|lr:0.001;selection=best_val_MSE;hidden=128;layers=3;lr=0.001;batch=64;seq_len=30,
GRU,gru_experiment-20260331T200007Z,2026-03-31T20:00:15+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,3.857360446367156e-05,1.9459706752659676e-05,0.002736906671007728,1.0,1,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=128;layers=3;lr=0.001;batch=64;seq_len=30,
GRU,gru_experiment-20260331T200058Z,2026-03-31T20:01:05+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,4.019211916100554e-05,2.086757483384952e-05,0.0026548317191812843,1.0,1,model=GRU;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:64|hidden:128|layers:3|lr:0.001;selection=best_val_MSE;hidden=128;layers=3;lr=0.001;batch=64;seq_len=60,
GRU,gru_experiment-20260331T200015Z,2026-03-31T20:00:29+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,4.2128857421859906e-05,2.0849684138971744e-05,0.0027014252254160234,1.0,1,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=128;layers=3;lr=0.001;batch=32;seq_len=30,
GRU,gru_experiment-20260331T200037Z,2026-03-31T20:00:41+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,4.31734213217154e-05,1.9885758454239955e-05,0.0025632863528897904,1.0,4,model=GRU;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:3|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=128;layers=3;lr=0.001;batch=128;seq_len=30,
GRU,gru_experiment-20260331T200042Z,2026-03-31T20:00:49+00:00,"{""hidden"":128,""input_size"":8,""layers"":3,""random_seed"":42}",128,,,3,4.4807169588067445e-05,2.6379611914992014e-05,0.003375795453120728,0.9974874371859297,1,model=GRU;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:64|hidden:128|layers:3|lr:0.001;selection=best_val_MSE;hidden=128;layers=3;lr=0.001;batch=64;seq_len=20,
GRU,gru_experiment-20260331T195945Z,2026-03-31T19:59:52+00:00,"{""hidden"":128,""input_size"":8,""layers"":2,""random_seed"":42}",128,,,2,4.6355481585580394e-05,2.2044151615220644e-05,0.002642367273850468,1.0,4,model=GRU;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=64;seq_len=30,
GRU,gru_experiment-20260331T200000Z,2026-03-31T20:00:07+00:00,"{""hidden"":128,""input_size"":8,""layers"":2,""random_seed"":42}",128,,,2,4.636436333694727e-05,2.203671623164567e-05,0.002642029847711289,1.0,4,model=GRU;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=128;layers=2;lr=0.001;batch=64;seq_len=30,
