task_id,model,stage_index,stage_name,parameter_group,winning_value_json,best_val_MSE,frozen_config_json
next_volatility,lstm,1,LSTM lr sweep,lr,0.0001,4.314806176606433e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001, ""seq_len"": 30}"
next_volatility,lstm,2,LSTM hidden sweep,hidden,64,4.3147853683692854e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001, ""seq_len"": 30}"
next_volatility,lstm,3,LSTM layers sweep,layers,3,4.0257140465541994e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 3, ""lr"": 0.0001, ""seq_len"": 30}"
next_volatility,lstm,4,LSTM batch_size sweep,batch_size,32,3.9204313008075865e-05,"{""batch_size"": 32, ""hidden"": 64, ""layers"": 3, ""lr"": 0.0001, ""seq_len"": 30}"
next_volatility,lstm,5,LSTM seq_len sweep,seq_len,20,3.8970537718582044e-05,"{""batch_size"": 32, ""hidden"": 64, ""layers"": 3, ""lr"": 0.0001, ""seq_len"": 20}"
next_volatility,gru,1,GRU lr sweep,lr,0.001,5.103587973976598e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_volatility,gru,2,GRU hidden sweep,hidden,128,4.6355481585580394e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_volatility,gru,3,GRU layers sweep,layers,3,3.857360446367156e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_volatility,gru,4,GRU batch_size sweep,batch_size,64,3.856792657311927e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_volatility,gru,5,GRU seq_len sweep,seq_len,30,3.8572673005762294e-05,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_volatility,rnn,1,RNN lr sweep,lr,0.001,4.366021869244044e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_volatility,rnn,2,RNN hidden sweep,hidden,64,4.3661812717622246e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""seq_len"": 30}"
next_volatility,rnn,3,RNN layers sweep,layers,3,4.3301180237647294e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_volatility,rnn,4,RNN batch_size sweep,batch_size,64,4.329095948719776e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_volatility,rnn,5,RNN seq_len sweep,seq_len,30,4.3298420157871885e-05,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 3, ""lr"": 0.001, ""seq_len"": 30}"
next_volatility,transformer,1,Transformer lr sweep,lr,0.001,0.00011419973617423809,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2, ""seq_len"": 30}"
next_volatility,transformer,2,Transformer d_model sweep,d_model,64,0.00013059512523235168,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2, ""seq_len"": 30}"
next_volatility,transformer,3,Transformer num_layers sweep,num_layers,1,6.673710948902919e-05,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1, ""seq_len"": 30}"
next_volatility,transformer,4,Transformer nhead sweep,nhead,2,6.251868174642132e-05,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 2, ""num_layers"": 1, ""seq_len"": 30}"
next_volatility,transformer,5,Transformer batch_size sweep,batch_size,32,5.372426672928607e-05,"{""batch_size"": 32, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 2, ""num_layers"": 1, ""seq_len"": 30}"
next_volatility,transformer,6,Transformer seq_len sweep,seq_len,20,4.665684497218913e-05,"{""batch_size"": 32, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 2, ""num_layers"": 1, ""seq_len"": 20}"
next_volatility,baseline_lr,1,Baseline-LR seq_len sweep,seq_len,20,4.132792107209887e-05,"{""batch_size"": 64, ""lr"": 0.001, ""seq_len"": 20}"
