model,stage_index,stage_name,parameter_group,candidate_index,note,best_val_MSE,selected,config_json
lstm,1,LSTM lr sweep,lr,1,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64,0.00013600800050257066,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001}"
lstm,1,LSTM lr sweep,lr,2,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64,0.00013479329768503176,True,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0005}"
lstm,1,LSTM lr sweep,lr,3,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64,0.00014283796221753212,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
lstm,2,LSTM hidden sweep,hidden,1,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=32;layers=2;lr=0.0005;batch=64,0.0001392523164972509,False,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.0005}"
lstm,2,LSTM hidden sweep,hidden,2,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64,0.0001362014118138317,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0005}"
lstm,2,LSTM hidden sweep,hidden,3,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0005;selection=best_val_MSE;hidden=128;layers=2;lr=0.0005;batch=64,0.00013594406807410965,True,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.0005}"
lstm,3,LSTM layers sweep,layers,1,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=1;lr=0.0005;batch=64,0.0001372456480905294,True,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 1, ""lr"": 0.0005}"
lstm,3,LSTM layers sweep,layers,2,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=2;lr=0.0005;batch=64,0.00014025189045264408,False,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.0005}"
lstm,3,LSTM layers sweep,layers,3,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:128|lr:0.0005;selection=best_val_MSE;hidden=128;layers=3;lr=0.0005;batch=64,0.00014072489645235888,False,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 3, ""lr"": 0.0005}"
lstm,4,LSTM batch_size sweep,batch_size,1,model=LSTM;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:128|layers:1|lr:0.0005;selection=best_val_MSE;hidden=128;layers=1;lr=0.0005;batch=32,0.000135338194834257,True,"{""batch_size"": 32, ""hidden"": 128, ""layers"": 1, ""lr"": 0.0005}"
