model,stage_index,stage_name,parameter_group,winning_value_json,best_val_MSE,frozen_config_json
lstm,1,LSTM lr sweep,lr,0.0005,0.00013479329768503176,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0005}"
lstm,2,LSTM hidden sweep,hidden,128,0.00013594406807410965,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.0005}"
lstm,3,LSTM layers sweep,layers,1,0.0001372456480905294,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 1, ""lr"": 0.0005}"
lstm,4,LSTM batch_size sweep,batch_size,32,0.000135338194834257,"{""batch_size"": 32, ""hidden"": 128, ""layers"": 1, ""lr"": 0.0005}"
gru,1,GRU lr sweep,lr,0.001,0.00013512183682835591,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001}"
gru,2,GRU hidden sweep,hidden,32,0.00013634565539253021,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.001}"
gru,3,GRU layers sweep,layers,3,0.0001358151466579442,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 3, ""lr"": 0.001}"
gru,4,GRU batch_size sweep,batch_size,64,0.0001351469770738869,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 3, ""lr"": 0.001}"
rnn,1,RNN lr sweep,lr,0.0001,0.00014393929484983093,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
rnn,2,RNN hidden sweep,hidden,64,0.00014464334097624175,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
rnn,3,RNN layers sweep,layers,2,0.00013669347760343563,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
rnn,4,RNN batch_size sweep,batch_size,32,0.00014090801428999627,"{""batch_size"": 32, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
transformer,1,Transformer lr sweep,lr,0.001,0.0001514651646368403,"{""batch_size"": 64, ""d_model"": 64, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2}"
transformer,2,Transformer d_model sweep,d_model,32,0.00014970278694397338,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 2}"
transformer,3,Transformer num_layers sweep,num_layers,1,0.0001469905408357941,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 4, ""num_layers"": 1}"
transformer,4,Transformer nhead sweep,nhead,8,0.00014058778694007911,"{""batch_size"": 64, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1}"
transformer,5,Transformer batch_size sweep,batch_size,32,0.00014070509727885522,"{""batch_size"": 32, ""d_model"": 32, ""lr"": 0.001, ""nhead"": 8, ""num_layers"": 1}"
